city,name,total,s_year,s_month,s_day,s_quarter,s_hour,orders_count  
嘉義,cash,999,2021,4,18,2,19,16
嘉義,cash,1896,2021,4,18,2,20,25
嘉義,cash,500,2021,4,18,2,21,11
嘉義,easycard,128,2021,4,18,2,9,1
嘉義,easycard,412,2021,4,18,2,10,6
嘉義,easycard,87,2021,4,18,2,11,1
嘉義,easycard,411,2021,4,18,2,12,5
嘉義,easycard,323,2021,4,18,2,13,3
嘉義,easycard,216,2021,4,18,2,14,2
嘉義,easycard,159,2021,4,18,2,15,2
嘉義,easycard,81,2021,4,18,2,16,2
嘉義,easycard,31,2021,4,18,2,18,1
嘉義,easycard,191,2021,4,18,2,19,2
嘉義,easycard,38,2021,4,18,2,20,1
嘉義,easycard,37,2021,4,18,2,21,1
嘉義,linepay,340,2021,4,18,2,10,4
嘉義,linepay,99,2021,4,18,2,11,2
嘉義,linepay,82,2021,4,18,2,12,1
嘉義,linepay,485,2021,4,18,2,13,4
嘉義,linepay,243,2021,4,18,2,14,3
嘉義,linepay,113,2021,4,18,2,16,1
嘉義,linepay,97,2021,4,18,2,18,2
嘉義,linepay,185,2021,4,18,2,19,2
嘉義,linepay,29,2021,4,18,2,20,1
嘉義,national_credit_card,31,2021,4,18,2,9,1
嘉義,national_credit_card,84,2021,4,18,2,13,1
嘉義,national_credit_card,92,2021,4,18,2,16,2
金門,cash,391,2021,4,26,2,13,2
金門,cash,258,2021,4,26,2,14,1
金門,cash,389,2021,4,26,2,16,2
嘉義,easycard,295,2021,4,30,2,16,3
嘉義,easycard,157,2021,4,30,2,17,2
嘉義,easycard,101,2021,4,30,2,18,2
嘉義,easycard,506,2021,4,30,2,19,3
嘉義,easycard,79,2021,4,30,2,21,1
嘉義,easycard,68,2021,4,30,2,22,1
嘉義,linepay,213,2021,4,30,2,10,2
嘉義,linepay,259,2021,4,30,2,11,2
嘉義,linepay,186,2021,4,30,2,12,2
嘉義,linepay,48,2021,4,30,2,13,1
嘉義,linepay,97,2021,4,30,2,14,1
嘉義,linepay,228,2021,4,30,2,15,1
嘉義,linepay,130,2021,4,30,2,16,2
嘉義,linepay,329,2021,4,30,2,17,2
嘉義,linepay,55,2021,4,30,2,18,1
嘉義,linepay,317,2021,4,30,2,19,3
嘉義,linepay,270,2021,4,30,2,20,4
嘉義,national_credit_card,254,2021,4,30,2,14,1
嘉義,national_credit_card,93,2021,4,30,2,15,1
嘉義,national_credit_card,36,2021,4,30,2,16,1
嘉義,national_credit_card,67,2021,4,30,2,19,1
台中,cash,372,2021,5,1,2,9,2
台中,cash,3893,2021,5,1,2,10,9
台中,cash,2143,2021,5,1,2,11,6
台中,cash,1563,2021,5,1,2,12,4
台中,cash,840,2021,5,1,2,13,5
台中,cash,2191,2021,5,1,2,14,7
彰化,cash,730,2021,4,18,2,10,3
彰化,cash,545,2021,4,18,2,11,2
彰化,cash,342,2021,4,18,2,13,2
彰化,cash,183,2021,4,18,2,14,1
彰化,cash,175,2021,4,18,2,15,1
彰化,cash,94,2021,4,18,2,16,1
彰化,cash,54,2021,4,18,2,19,1
彰化,cash,219,2021,4,18,2,20,1
新竹,cash,726,2021,4,18,2,10,11
新竹,cash,1244,2021,4,18,2,11,14
新竹,cash,2837,2021,4,18,2,12,31
新竹,cash,2557,2021,4,18,2,13,38
新竹,cash,3549,2021,4,18,2,14,26
新竹,cash,1989,2021,4,18,2,15,25
新竹,cash,1673,2021,4,18,2,16,19
新竹,cash,1448,2021,4,18,2,17,22
新竹,cash,1337,2021,4,18,2,18,26
新竹,cash,1878,2021,4,18,2,19,27
新竹,cash,1692,2021,4,18,2,20,19
新竹,cash,654,2021,4,18,2,21,11
新竹,easycard,388,2021,4,18,2,12,4
新竹,easycard,64,2021,4,18,2,13,1
新竹,easycard,189,2021,4,18,2,15,3
新竹,easycard,477,2021,4,18,2,16,4
新竹,easycard,171,2021,4,18,2,18,3
新竹,easycard,81,2021,4,18,2,19,2
新竹,easycard,277,2021,4,18,2,20,4
新竹,linepay,121,2021,4,18,2,11,3
新竹,linepay,64,2021,4,18,2,12,1
新竹,linepay,161,2021,4,18,2,13,2
新竹,linepay,108,2021,4,18,2,14,1
新竹,linepay,208,2021,4,18,2,15,2
新竹,linepay,225,2021,4,18,2,16,2
新竹,linepay,117,2021,4,18,2,17,2
新竹,linepay,162,2021,4,18,2,18,2
新竹,linepay,59,2021,4,18,2,20,1
新竹,linepay,40,2021,4,18,2,21,1
新竹,national_credit_card,56,2021,4,18,2,13,1
新竹,national_credit_card,93,2021,4,18,2,16,1
新竹,national_credit_card,63,2021,4,18,2,17,1
台中,UberEats,128,2021,4,26,2,11,1
台中,UberEats,124,2021,4,26,2,17,1
台中,UberEats,532,2021,4,26,2,18,3
台中,UberEats,210,2021,4,26,2,19,2
台中,UberEats,295,2021,4,26,2,20,2
台中,UberEats,588,2021,4,26,2,21,4
台中,cash,223,2021,4,26,2,9,4
台中,cash,2049,2021,4,26,2,10,19
台中,cash,2760,2021,4,26,2,11,25
台中,cash,3014,2021,4,26,2,12,39
台中,cash,1990,2021,4,26,2,13,29
台中,cash,1690,2021,4,26,2,14,24
台中,cash,1502,2021,4,26,2,15,23
台中,cash,1569,2021,4,26,2,16,24
台中,cash,1713,2021,4,26,2,17,24
台中,cash,1687,2021,4,26,2,18,25
台中,cash,1443,2021,4,26,2,19,21
台中,cash,1425,2021,4,26,2,20,16
台中,cash,959,2021,4,26,2,21,15
台中,easycard,91,2021,4,26,2,10,1
台中,easycard,48,2021,4,26,2,11,1
台中,easycard,87,2021,4,26,2,12,1
台中,easycard,194,2021,4,26,2,13,1
台中,easycard,108,2021,4,26,2,14,1
台中,easycard,268,2021,4,26,2,15,2
台中,easycard,60,2021,4,26,2,16,2
台中,easycard,107,2021,4,26,2,17,1
台中,easycard,37,2021,4,26,2,18,1
台中,easycard,186,2021,4,26,2,19,1
台中,easycard,45,2021,4,26,2,20,1
台中,linepay,26,2021,4,26,2,9,1
台中,linepay,158,2021,4,26,2,13,2
台中,linepay,34,2021,4,26,2,15,1
嘉義,UberEats,77,2021,4,18,2,11,1
嘉義,UberEats,179,2021,4,18,2,13,2
嘉義,UberEats,123,2021,4,18,2,17,1
嘉義,UberEats,343,2021,4,18,2,18,2
嘉義,UberEats,59,2021,4,18,2,21,1
